split,context_trust_auc,context_trust_log_loss,context_stance_auc,context_stance_log_loss,context_trust_stance_auc,context_trust_stance_log_loss
37,0.689440902208308,0.6192819410723631,0.7776071341807198,0.5525550334983065,0.779118556173346,0.5513079132137664
38,0.6936522303579586,0.6166530297525636,0.7918257934482791,0.5380640447681763,0.7926394435113489,0.5375266066467491
39,0.7084830221716012,0.6068751957941891,0.7907410795387069,0.53670535269104,0.7940213571105312,0.5338917084024283
40,0.7117000932479326,0.6051655596034238,0.7941530489016615,0.534761435992663,0.7977890303743675,0.5310849365010859
41,0.7048546715499104,0.6095652902461747,0.7938586640141914,0.5352447706986069,0.7970996954848331,0.5319970968926072
42,0.7005439407899059,0.6120461823745781,0.7784108219770414,0.5513870448375947,0.7819678280413701,0.5484540153008839
43,0.7016726481065498,0.6122148563058465,0.7774311339639255,0.5515571804615758,0.7809444943470922,0.548829628619932
44,0.7077889703379578,0.6077583467602278,0.8035121835060209,0.5254879843425359,0.8062610322679844,0.5230172191388348
45,0.7029902777565464,0.610403715979027,0.7979424308665942,0.5295222384843913,0.7993714936484401,0.5283453249220512
46,0.7031074145546943,0.6107904523235527,0.7915690705488148,0.5382240245462832,0.7920803137743837,0.5375579444992903
47,0.6950647304819224,0.6163519175243934,0.781427707060382,0.5488078280275491,0.7845530747169904,0.5460860512291674
48,0.6987037844547979,0.6128282536110361,0.7961663303396329,0.5313035036762136,0.7977924841568647,0.5301660498766083
49,0.7105679288139112,0.605177730144608,0.7815605971749751,0.5466174409082664,0.7864425739739886,0.5422389065667621
50,0.7096937340446673,0.6066473617488809,0.8020757601235152,0.5261675779362799,0.8049147775043185,0.5232845411705863
